,spacegroup,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev
77,12,0.0,0.4062,0.5938,24.765,6.5014,6.486000000000001,90.0003,105.241,90.0,0.0824,1.1499
760,206,0.5312,0.0,0.4688,9.5967,9.5963,9.5966,90.0011,90.0019,89.9993,0.2565,2.0344
1361,194,0.0625,0.375,0.5625,6.7788,6.7784,24.7755,90.0041,89.9963,119.988,0.2257,0.8354
1676,194,0.375,0.625,0.0,6.2619,6.2619,23.8166,90.0165,89.9999,119.9993,0.1215,2.6582
2050,194,0.5,0.5,0.0,6.2225,6.2224,23.7226,90.0187,89.9985,120.0009,0.2859,2.7152
2148,206,0.6875,0.0,0.3125,9.3927,9.3921,9.3925,90.0014,90.0024,89.9993,0.2635,2.7273
1243,167,0.0,0.4167,0.5833,10.7244,5.3617,14.2797,89.9996,89.9994,120.0006,0.1582,1.2278
1956,12,0.375,0.25,0.375,24.4329,6.2723,6.1848,89.9998,104.8203,90.0001,0.151,1.7653
928,227,0.1875,0.1875,0.625,10.7116,6.2084,15.2925,91.2274,91.4252,30.3793,0.3485,0.7659
284,206,0.4062,0.0,0.5938,9.7599,9.7596,9.7599,90.0009,90.0015,89.9993,0.2293,1.5436
517,227,0.875,0.0,0.125,9.6432,5.6469,14.3422,99.4149,101.0447,31.371,0.3668,1.7883
151,33,0.4062,0.5,0.0938,10.1585,8.7171,9.3405,90.0009,90.0018,90.0014,0.1381,2.5144
1708,33,0.7188,0.0938,0.1875,10.1164,8.6712,9.3008,90.0043,90.0018,90.001,0.1679,2.9494
2026,33,0.75,0.1562,0.0938,9.9978,8.5801,9.2093,90.0042,90.0021,90.0012,0.1415,3.2125
1615,206,0.0,0.6875,0.3125,9.6807,9.6808,9.6804,90.0042,90.0036,89.9946,0.14,1.5483
166,194,0.2188,0.5938,0.1875,6.4508,6.4507,24.1753,90.0077,90.0036,119.9943,0.3069,1.1435
1174,227,0.0,0.3125,0.6875,6.3886,6.3867,15.1989,90.0093,90.0,119.9995,0.287,0.5974
184,194,0.4688,0.0,0.5312,6.6257,6.6252,24.4294,90.0173,90.0113,119.9922,0.3432,1.2053
729,227,0.5625,0.4375,0.0,9.9771,5.7367,14.1381,93.5941,93.0715,30.1257,0.1212,3.0249
36,33,0.5,0.0,0.5,5.2826,9.0207,9.6494,90.0033,90.0001,90.0006,0.2341,1.9983
689,33,0.6562,0.3125,0.0312,9.9723,8.565,9.1921,90.00299999999999,90.0022,90.0015,0.1016,3.3621
1412,194,0.6875,0.25,0.0625,6.2114,6.2112,23.6621,90.016,90.0019,120.00200000000001,0.2788,2.9852
2144,206,0.9062,0.0625,0.0312,9.0517,9.0509,9.0513,90.0025,90.0036,89.9989,0.1113,4.375
1393,167,0.4167,0.25,0.3333,5.1294,5.129,13.7915,89.9942,90.0063,120.0011,0.1733,2.5349
2078,206,0.2812,0.0,0.7188,9.9231,9.9229,9.9232,90.0007,90.0011,89.9993,0.1762,1.4528
2210,194,0.3438,0.0,0.6562,6.7573,6.7568,24.6844,90.0188,90.0056,119.9897,0.3714,0.7115
1198,12,0.5,0.5,0.0,24.401999999999997,6.0269,5.7748,89.9995,103.8357,90.0002,0.0351,2.9228
1252,33,0.9375,0.0,0.0625,4.9377,8.4791,9.1113,90.0058,90.0023,90.0011,0.1078,3.7828
710,206,0.0938,0.0625,0.8438,10.1125,10.1124,10.1127,90.0008,90.0009,89.9989,0.0816,1.1048
1387,167,0.75,0.0,0.25,5.0036,5.0034,13.5318,89.9888,90.0119,120.0017,0.1731,3.1329
827,194,0.0312,0.4688,0.5,6.7431,6.7427,24.7186,90.0005,89.9974,119.9883,0.2047,1.0367
1684,167,0.75,0.0833,0.1667,4.9604,4.9602,13.4383,89.9886,90.0123,120.0016,0.1279,3.5134
2155,33,0.5625,0.4375,0.0,4.9907,8.5762,9.2014,90.00200000000001,90.0023,90.0017,0.0693,3.2922
577,12,0.125,0.875,0.0,12.3959,3.0668,5.8516,90.0,103.7028,90.0001,0.0211,2.2309
1070,12,0.4062,0.5938,0.0,24.4994,6.0535,5.794,89.9996,103.8022,90.0002,0.0286,2.54
1457,33,0.4375,0.5625,0.0,5.02,8.626,9.2491,90.0008,90.0022,90.0018,0.0325,2.9911
1774,206,0.4688,0.375,0.1562,9.3458,9.3454,9.3454,90.0034,90.0037,89.9967,0.1841,2.6323
1755,33,0.875,0.0,0.125,4.987,8.5565,9.1881,90.0055,90.0021,90.001,0.1347,3.4866
1814,206,0.1562,0.0,0.8438,10.0863,10.0862,10.0865,90.0005,90.0008,89.9993,0.1125,0.875
74,206,0.4688,0.2188,0.3125,9.4843,9.484,9.4841,90.0023,90.0028,89.9978,0.2292,2.3414
493,167,0.5,0.5,0.0,4.936,4.9356,13.3762,89.9923,90.0089,120.0009,0.0604,3.6911
1096,12,0.5,0.1875,0.3125,24.3195,6.2018,6.0952,89.9996,104.7008,90.0001,0.2154,2.1115
759,33,0.625,0.3438,0.0312,9.9869,8.5775,9.204,90.0027,90.0022,90.0015,0.0816,3.3811
220,206,0.0,0.4062,0.5938,9.9301,9.9301,9.9301,90.0025,90.0022,89.9966,0.11699999999999999,1.202
1209,227,0.625,0.0,0.375,9.8219,5.702999999999999,14.0841,91.0849,91.2584,30.5595,0.4105,1.4854
1778,206,0.4375,0.5625,0.0,9.2204,9.22,9.2199,90.0047,90.0046,89.9954,0.1091,3.1609
753,12,0.3438,0.4062,0.25,24.4984,6.2112,6.0629,89.9998,104.4804,90.0001,0.1366,1.9847
616,33,0.25,0.1875,0.5625,10.7515,9.1728,9.7978,90.0011,89.9991,90.0003,0.2615,1.3238
337,194,0.375,0.2188,0.4062,6.5624,6.562,24.339000000000002,90.0137,90.0066,119.993,0.2949,1.0686
1062,194,0.75,0.125,0.125,6.2392,6.2388,23.6955,90.0132,90.0067,120.0015,0.2664,2.9439
1698,167,0.25,0.1667,0.5833,5.3002,5.2998,14.155,89.9962,90.0031,120.0011,0.2471,1.6494
224,33,0.1875,0.4062,0.4062,10.6074,9.0666,9.6891,89.9999,89.9999,90.0004,0.23399999999999999,1.4131
2033,206,0.0312,0.0625,0.9062,10.1941,10.1941,10.1943,90.0007,90.0007,89.9989,0.0524,0.9278
903,194,0.4375,0.1875,0.375,6.5196,6.5193,24.2518,90.0144,90.0081,119.994,0.3336,1.4668
238,194,0.9375,0.0,0.0625,6.1382,6.1377,23.4744,90.0064,90.0065,120.0048,0.2903,3.4438
115,33,0.0,0.8125,0.1875,10.4524,8.9578,9.5751,89.9972,90.0008,90.001,0.0784,1.6991
2124,206,0.0625,0.0625,0.875,10.1533,10.1533,10.1535,90.0008,90.0008,89.9989,0.068,0.9611
1272,12,0.75,0.25,0.0,12.0711,2.9779,5.7236,89.9992,103.9258,90.0002,0.0122,3.4535
57,33,0.125,0.8125,0.0625,10.2554,8.8031,9.4214,89.9979,90.0016,90.0016,0.0728,2.1497
122,167,0.6667,0.1667,0.1667,9.9621,4.9808,13.4799,89.99,90.0109,120.0014,0.1466,3.475
2310,167,0.75,0.0833,0.1667,4.9604,4.9602,13.4383,89.9886,90.0123,120.0016,0.1249,3.5813
534,206,0.4688,0.2812,0.25,9.4289,9.4286,9.4286,90.0028,90.0031,89.9973,0.2091,2.4276
372,33,0.0,1.0,0.0,5.1223,8.8005,9.4161,89.9963,90.0018,90.0021,0.051,2.0815
1471,167,0.0833,0.4167,0.5,5.2983,5.2978,14.1447,89.9988,90.0007,120.0007,0.1893,1.5190000000000001
1317,33,0.7812,0.125,0.0938,9.9832,8.5676,9.1974,90.0045,90.0021,90.0012,0.1434,3.2729
1725,33,0.5,0.4375,0.0625,10.08,8.6535,9.2782,90.0017,90.00200000000001,90.0015,0.1115,2.8399
2130,194,0.125,0.0625,0.8125,6.9428,6.9422,25.0504,90.0172,89.9916,119.9863,0.298,0.4402
1496,194,0.4062,0.1562,0.4375,6.5757,6.5753,24.3557,90.0147,90.0079,119.9929,0.354,1.1742
278,194,0.6562,0.3438,0.0,6.1745,6.1743,23.6052,90.0183,89.99799999999999,120.0028,0.2041,3.0532
682,194,0.0625,0.4375,0.5,6.7327,6.7323,24.695,90.0025,89.99799999999999,119.9887,0.311,0.7527
413,33,0.4062,0.125,0.4688,10.5745,9.0318,9.6587,90.0023,90.0,90.0005,0.275,1.6731
1506,167,0.6667,0.3333,0.0,4.8947,4.8944,13.293,89.9894,90.0117,120.0012,0.0459,4.1374
2071,167,0.3333,0.6667,0.0,4.9772,4.9768,13.4593,89.9952,90.0061,120.0005,0.0705,3.2337
455,194,0.3125,0.3438,0.3438,6.5360000000000005,6.5357,24.3056,90.0114,90.0047,119.9932,0.2785,1.2874
1746,33,0.375,0.0,0.625,5.3812,9.1754,9.8031,90.0025,89.9991,90.0005,0.262,1.5641
2070,206,0.4375,0.5625,0.0,9.2204,9.22,9.2199,90.0047,90.0046,89.9954,0.1057,3.1766
1733,206,0.4688,0.5312,0.0,9.2073,9.2069,9.2068,90.0045,90.0046,89.9956,0.109,3.2181
1568,12,0.2188,0.5,0.2812,24.62,6.2643,6.1204,90.0,104.5208,90.0001,0.1223,1.7242
958,227,0.3125,0.375,0.3125,6.0669,6.0671,14.7676,90.0088,89.9864,119.9988,0.4164,0.6846
2005,12,0.5312,0.4688,0.0,24.3695,6.018,5.7684,89.9995,103.8469,90.0002,0.0379,2.9921
2006,12,0.5,0.5,0.0,12.200999999999999,3.0134,5.7748,89.9995,103.8357,90.0002,0.0193,2.8478
207,12,0.4375,0.25,0.3125,24.3844,6.2195,6.1079,89.9997,104.6791,90.0001,0.1883,2.0563
1424,227,0.3125,0.3125,0.375,10.4529,6.0057,14.9115,96.9994,95.9948,30.237,0.4,1.2283
1917,167,0.8333,0.1667,0.0,9.7069,4.8532,13.2099,89.9864,90.0145,120.0016,0.0274,4.8849
1763,206,0.5625,0.25,0.1875,9.3342,9.3338,9.3339,90.0028,90.0033,89.9976,0.2016,2.7689
507,167,0.5833,0.4167,0.0,4.9153,4.915,13.3346,89.9909,90.0103,120.0011,0.0616,3.8839
58,167,0.5,0.5,0.0,4.936,4.9356,13.3762,89.9923,90.0089,120.0009,0.0617,3.7029
865,12,0.0625,0.5,0.4375,24.7412,6.3961,6.3127,90.0002,104.8741,90.0001,0.1281,1.2296
1960,167,0.75,0.0833,0.1667,4.9604,4.9602,13.4383,89.9886,90.0123,120.0016,0.14300000000000002,3.7472
1262,206,0.0625,0.0,0.9375,10.2087,10.2087,10.209,90.0004,90.0005,89.9994,0.0405,1.0229
2154,227,0.375,0.5625,0.0625,5.8716,5.8713,14.3768,89.9951,90.0035,119.9978,0.2896,1.4265
2251,167,0.75,0.0833,0.1667,9.9209,4.9602,13.4383,89.9886,90.0123,120.0016,0.1515,3.6603
882,227,0.0,0.8125,0.1875,10.3504,5.9973,14.7837,91.0076,91.1726,30.3521,0.21600000000000003,0.7305
1105,194,0.5312,0.2812,0.1875,6.3517,6.3514,23.9401,90.0152,90.0056,119.9979,0.2727,2.4023
412,33,0.375,0.0,0.625,5.3812,9.1754,9.8031,90.0025,89.9991,90.0005,0.2534,1.5821
2306,167,0.3333,0.3333,0.3333,5.15,5.1496,13.8331,89.9954,90.0049,120.0009,0.2286,2.1536
764,167,0.5833,0.4167,0.0,4.9153,4.915,13.3346,89.9909,90.0103,120.0011,0.0522,3.9718
266,12,0.4062,0.2812,0.3125,24.4169,6.2284,6.1143,89.9997,104.6682,90.0001,0.2039,1.6095
411,12,0.1875,0.7812,0.0312,24.7185,6.1332,5.8708,89.9999,103.8157,90.0001,0.0323,2.2885
2060,206,0.3438,0.4688,0.1875,9.4259,9.4256,9.4255,90.0037,90.0037,89.9961,0.1793,2.3806
10,167,0.5833,0.4167,0.0,9.8307,4.915,13.3346,89.9909,90.0103,120.0011,0.0581,3.8723
826,194,0.875,0.125,0.0,6.1097,6.1093,23.441,90.0115,89.9998,120.0055,0.1874,3.7011
424,12,0.4375,0.2812,0.2812,24.3927,6.202000000000001,6.0758,89.9997,104.5965,90.0001,0.1662,1.9916
3,167,0.75,0.0,0.25,5.0036,5.0034,13.5318,89.9888,90.0119,120.0017,0.2172,3.3492
2010,194,0.125,0.3438,0.5312,6.7352,6.7348,24.6882,90.0068,89.9987,119.98899999999999,0.2826,0.4789
1159,167,0.3333,0.25,0.4167,5.1932,5.1928,13.9265,89.9954,90.0047,120.0011,0.1757,2.1736
1606,206,0.2812,0.3438,0.375,9.6183,9.6181,9.6181,90.0027,90.0028,89.9969,0.2002,1.8512
1399,12,0.25,0.375,0.375,12.2814,3.1539,6.2103,89.9999,104.7775,90.0001,0.3094,1.4044
1670,194,0.3125,0.5,0.1875,6.4205,6.4203,24.1047,90.0113,90.0036,119.9954,0.2892,1.7255
546,206,0.5312,0.4688,0.0,9.1811,9.1807,9.1806,90.0043,90.0045,89.9961,0.1058,3.3875
1576,206,0.5625,0.2812,0.1562,9.3065,9.3061,9.3062,90.00299999999999,90.0035,89.9974,0.1902,2.9552
1531,167,0.1667,0.1667,0.6667,5.3641,5.3636,14.29,89.99700000000001,90.0018,120.0011,0.19699999999999998,1.4613
1240,227,0.875,0.125,0.0,9.8046,5.6614,13.84,91.7885,91.7567,30.1664,0.1097,3.6232
1761,12,0.4375,0.2812,0.2812,24.3927,6.202000000000001,6.0758,89.9997,104.5965,90.0001,0.1203,2.2007
1825,33,0.9375,0.0625,0.0,4.9031,8.4267,9.0582,90.0055,90.0024,90.0013,0.0408,4.4323
1030,227,0.4375,0.1875,0.375,10.3535,5.9979,14.7699,90.9875,91.146,30.3326,0.3049,1.3159
712,194,0.3438,0.3438,0.3125,6.5029,6.5027,24.2419,90.0121,90.0051,119.9939,0.3176,1.4332
797,206,0.0312,0.9688,0.0,9.3906,9.3906,9.39,90.0063,90.0053,89.9927,0.0799,2.3124
2313,206,0.0,0.0625,0.9375,10.2349,10.2349,10.2352,90.0007,90.0006,89.999,0.0219,0.9466
506,206,0.4375,0.4062,0.1562,9.3589,9.3586,9.3585,90.0035,90.0037,89.9965,0.1714,2.6033
318,33,0.0,0.625,0.375,5.3302,9.1151,9.7342,89.9979,89.9997,90.0004,0.1373,1.3418
204,33,0.4062,0.3125,0.2812,10.3665,8.8745,9.4996,90.0016,90.001,90.0008,0.1848,2.1374
43,194,0.9688,0.0312,0.0,6.0828,6.0824,23.3707,90.0062,90.0015,120.0065,0.2093,3.9989
1534,227,0.375,0.5,0.125,9.8205,5.7631,14.5164,96.9566,98.1763,31.5663,0.1339,2.0357
1197,206,0.5,0.0,0.5,9.6375,9.6371,9.6374,90.001,90.0018,89.9993,0.2593,1.925
1097,33,0.2188,0.1562,0.625,10.8354,9.2377,9.8628,90.001,89.9987,90.0003,0.2796,1.19
1770,167,0.4167,0.5833,0.0,4.9566,4.9562,13.4178,89.9938,90.0075,120.0007,0.071,3.4187
1427,227,0.5,0.4375,0.0625,5.8585,5.8587,14.3293,90.0135,89.9908,119.9973,0.2755,1.7319
490,167,0.5833,0.0,0.4167,5.1313,5.131,13.8018,89.9916,90.0086,120.0016,0.2627,2.2471
1798,206,0.2188,0.4062,0.375,9.6445,9.6443,9.6443,90.0029,90.0029,89.9965,0.1912,1.7838
2000,33,0.2812,0.1875,0.5312,10.7022,9.1341,9.7594,90.0013,89.9994,90.0004,0.2475,1.4258
435,194,0.4375,0.125,0.4375,6.5659,6.5655,24.3322,90.0152,90.0089,119.9932,0.3234,1.3118
1338,227,0.625,0.25,0.125,5.8672,5.8667,14.0874,90.0044,89.9966,119.999,0.2942,2.0695
267,206,0.5,0.5,0.0,9.1942,9.1938,9.1937,90.0044,90.0045,89.9959,0.1086,3.3472
2378,206,0.2188,0.0312,0.75,9.977,9.9768,9.9771,90.0008,90.0011,89.9991,0.16,1.0496
2219,12,0.4688,0.1875,0.3438,24.3437,6.2281,6.1336,89.9997,104.7716,90.0001,0.1791,2.0443
550,194,0.2188,0.1562,0.625,6.774,6.7735,24.7382,90.0138,90.0002,119.9889,0.3504,0.5710000000000001
1915,206,0.5,0.3438,0.1562,9.3327,9.3323,9.3323,90.0033,90.0036,89.9969,0.1872,2.707
1514,206,0.3438,0.6562,0.0,9.2597,9.2594,9.2591,90.005,90.0048,89.9948,0.0978,2.9509
1489,206,0.0312,0.0312,0.9375,10.2218,10.2218,10.2221,90.0006,90.0006,89.9992,0.0347,0.9548
835,227,0.6875,0.1875,0.125,5.8284,5.8285,14.3393,89.9988,89.9994,120.0006,0.2502,2.2177
345,12,0.4062,0.375,0.2188,24.4417,6.1759,6.0181,89.9997,104.4178,90.0001,0.1464,2.0916
2308,206,0.125,0.0,0.875,10.1271,10.127,10.1273,90.0005,90.0007,89.9993,0.0816,1.1579
1692,167,0.5,0.3333,0.1667,5.0223,5.022,13.5631,89.9927,90.0082,120.0011,0.16699999999999998,2.9888
1865,33,0.8438,0.0938,0.0625,9.9193,8.5165,9.147,90.0049,90.0022,90.0012,0.1206,3.792
100,206,0.0312,0.0312,0.9375,10.2218,10.2218,10.2221,90.0006,90.0006,89.9992,0.0409,0.9133
662,12,0.1875,0.7812,0.0312,24.7185,6.1332,5.8708,89.9999,103.8157,90.0001,0.0293,2.2744
1202,206,0.3438,0.375,0.2812,9.509,9.5087,9.5087,90.0031,90.0032,89.9967,0.2113,1.9383
2123,167,0.3333,0.4167,0.25,5.1068,5.1064,13.7396,89.9955,90.0052,120.0008,0.2242,2.3895
1884,206,0.0625,0.0938,0.8438,10.1256,10.1256,10.1258,90.0009,90.0009,89.9987,0.0882,0.9729
1235,194,0.5,0.0,0.5,3.2964,3.2962,12.1828,90.0168,90.0124,119.9929,0.6121,1.42
1505,227,0.8125,0.0,0.1875,10.0053,5.7928,14.2566,90.7304,90.8457,30.2783,0.3898,2.1147
2043,206,0.0,0.5312,0.4688,9.8193,9.8193,9.8191,90.0032,90.0028,89.9957,0.1302,1.3435
1861,227,0.75,0.0,0.25,10.1064,5.8488,14.2323,88.3398,88.0867,30.2409,0.4183,1.8719999999999999
1257,227,0.0,0.1875,0.8125,10.9802,6.3662,15.6847,91.397,91.6226,30.4126,0.2309,0.3031
684,12,0.375,0.625,0.0,12.2659,3.0312,5.8004,89.9997,103.7911,90.0002,0.0221,2.6663
2341,206,0.0938,0.8438,0.0625,9.4198,9.4198,9.4193,90.0056,90.0048,89.9935,0.1121,2.2154
1312,33,0.125,0.625,0.25,10.4633,8.9604,9.5804,89.9987,90.0007,90.0008,0.1348,1.7413
289,194,0.5938,0.4062,0.0,6.1935,6.1934,23.6522,90.0189,89.99799999999999,120.0021,0.2186,2.9631
78,194,0.3125,0.6562,0.0312,6.3051,6.3051,23.9038,90.0137,90.0015,119.9979,0.2527,1.3415
349,12,0.25,0.3438,0.4062,24.5546,6.3253,6.2424,90.0,104.8579,90.0001,0.1676,1.5656
640,206,0.0938,0.125,0.7812,10.0571,10.057,10.0572,90.0011,90.0012,89.9985,0.1078,1.1069
1747,167,0.0,0.75,0.25,10.3787,5.1888,13.9059,90.0005,89.9999,120.0001,0.132,1.7766
1589,194,0.5312,0.25,0.2188,6.3748,6.3745,23.9803,90.015,90.0067,119.9974,0.2803,2.0519
1178,33,0.875,0.0312,0.0938,9.9394,8.5303,9.1616,90.0053,90.0022,90.0011,0.1056,3.9064
142,12,0.375,0.0,0.625,12.1835,3.2061,6.4421,89.9999,105.4406,90.0001,0.3581,1.2158
472,206,0.4688,0.3438,0.1875,9.3735,9.3731,9.3732,90.0032,90.0035,89.9969,0.1977,2.5184
580,33,0.6875,0.25,0.0625,9.9924,8.5788,9.2067,90.0035,90.0021,90.0014,0.1148,3.3117
428,206,0.0312,0.0938,0.875,10.1664,10.1664,10.1666,90.0009,90.0008,89.9987,0.0617,0.9567
788,227,0.0,0.1875,0.8125,10.9802,6.3662,15.6847,91.397,91.6226,30.4126,0.3241,0.3494
551,33,0.1875,0.375,0.4375,5.321000000000001,9.0928,9.7156,90.0,89.9997,90.0004,0.2351,1.4163
2136,227,0.125,0.125,0.75,10.3844,6.149,15.0875,97.3077,98.6601,32.3912,0.2422,0.904
2263,206,0.0312,0.0312,0.9375,10.2218,10.2218,10.2221,90.0006,90.0006,89.9992,0.0406,0.8978
467,33,0.0,0.125,0.875,5.6075,9.5347,10.1584,89.9996,89.9963,90.0001,0.1684,0.7642
541,33,0.0938,0.6562,0.25,10.4779,8.9728,9.5924,89.9984,90.0006,90.0008,0.1711,1.6016
1153,167,0.75,0.1667,0.0833,4.9172,4.917,13.3449,89.9883,90.0127,120.0015,0.1239,4.0658
973,206,0.0938,0.0625,0.8438,10.1125,10.1124,10.1127,90.0008,90.0009,89.9989,0.0995,1.0385
1285,227,0.0,0.125,0.875,6.4641,6.4638,15.7989,89.9811,90.0195,119.9908,0.3063,0.0049
